date,cases
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,2
1/26/2020,5
1/27/2020,5
1/28/2020,5
1/29/2020,5
1/30/2020,5
1/31/2020,7
2/1/2020,8
2/2/2020,8
2/3/2020,11
2/4/2020,11
2/5/2020,11
2/6/2020,11
2/7/2020,11
2/8/2020,11
2/9/2020,11
2/10/2020,11
2/11/2020,12
2/12/2020,12
2/13/2020,13
2/14/2020,13
2/15/2020,13
2/16/2020,13
2/17/2020,13
2/18/2020,13
2/19/2020,13
2/20/2020,13
2/21/2020,15
2/22/2020,15
2/23/2020,15
2/24/2020,15
2/25/2020,15
2/26/2020,15
2/27/2020,16
2/28/2020,16
2/29/2020,24
3/1/2020,30
3/2/2020,53
3/3/2020,73
3/4/2020,104
3/5/2020,174
3/6/2020,222
3/7/2020,337
3/8/2020,451
3/9/2020,519
3/10/2020,711
3/11/2020,1109
3/12/2020,1561
3/13/2020,2157
3/14/2020,2870
3/15/2020,2968
3/16/2020,4331
3/17/2020,6063
3/18/2020,8837
3/19/2020,14068
3/20/2020,19376
3/21/2020,25711
3/22/2020,33626
3/23/2020,43706
3/24/2020,53947
3/25/2020,65873
3/26/2020,83888
3/27/2020,102050
3/28/2020,121740
3/29/2020,140847
3/30/2020,162293
3/31/2020,188232
4/1/2020,213654
4/2/2020,244024
4/3/2020,275950
4/4/2020,308954
4/5/2020,336784
4/6/2020,366386
4/7/2020,397095
4/8/2020,428737
4/9/2020,463423
4/10/2020,496875
4/11/2020,526834
4/12/2020,555278
4/13/2020,580563
4/14/2020,607608
4/15/2020,636649
4/16/2020,667878
4/17/2020,700576
4/18/2020,728864
4/19/2020,754807
4/20/2020,782109
4/21/2020,807665
4/22/2020,835814
4/23/2020,869842
4/24/2020,906271
4/25/2020,939160
4/26/2020,966783
4/27/2020,989230
4/28/2020,1013754
4/29/2020,1041241
4/30/2020,1070751
5/1/2020,1104877
5/2/2020,1133890
5/3/2020,1159426
5/4/2020,1181866
5/5/2020,1205970
5/6/2020,1231177
5/7/2020,1258996
5/8/2020,1286045
5/9/2020,1311760
5/10/2020,1331498
5/11/2020,1350315
5/12/2020,1372461
5/13/2020,1393389
5/14/2020,1420908
5/15/2020,1446091
5/16/2020,1471143
5/17/2020,1490090
5/18/2020,1511795
5/19/2020,1532149
5/20/2020,1555895
5/21/2020,1581191
5/22/2020,1605215
5/23/2020,1626968
5/24/2020,1647691
5/25/2020,1666611
5/26/2020,1685429
5/27/2020,1703635
5/28/2020,1726360
5/29/2020,1750702
5/30/2020,1775081
5/31/2020,1794933
6/1/2020,1812187
6/2/2020,1833019
6/3/2020,1852886
6/4/2020,1873747
6/5/2020,1898859
6/6/2020,1921296
6/7/2020,1938956
6/8/2020,1956309
6/9/2020,1974294
6/10/2020,1994943
6/11/2020,2017867
6/12/2020,2043013
6/13/2020,2068415
6/14/2020,2088118
6/15/2020,2107697
6/16/2020,2131340
6/17/2020,2156844
6/18/2020,2184541
6/19/2020,2215929
6/20/2020,2248388
6/21/2020,2274762
6/22/2020,2305259
6/23/2020,2340323
6/24/2020,2375122
6/25/2020,2414929
6/26/2020,2460122
6/27/2020,2502683
6/28/2020,2542165
6/29/2020,2582902
6/30/2020,2628429
7/1/2020,2679512
7/2/2020,2733886
7/3/2020,2787117
7/4/2020,2832880
7/5/2020,2882634
7/6/2020,2926896
7/7/2020,2986782
7/8/2020,3045342
7/9/2020,3108448
7/10/2020,3175954
7/11/2020,3235897
7/12/2020,3294612
7/13/2020,3353444
7/14/2020,3420745
7/15/2020,3487779
7/16/2020,3564831
7/17/2020,3635829
7/18/2020,3699605
7/19/2020,3760877
7/20/2020,3821869
7/21/2020,3885924
7/22/2020,3956688
Total,202938354
